Muestra,TipoDI,Garantia,EstadoActual,Cobertura,Producto,Intermediario,ValorDesembolso,SaldoCredito,SaldoGarantizado,Incumplimiento,FechaAnulacion,Reactivacion,Ciudad,%Comision,TotalComision
1 Muestra,Periodicas,6258872,Anulada,70,EMP219 UNIDOS POR COLOMBIA MICRO AL 70%,CONTACTAR,4572740,4203000,2942100,Incumplimiento en el requisito de altura de mora,44203,NO,NARIÑO,2.81,152908
1 Muestra,Periodicas,5689494,Anulada,80,EMP223 UNIDOS POR COLOMBIA MICRO AL 80%,FUNDACION COOMEVA,7000000,7000000,5600000,Periodo de gracia no cumple con los requisitos exigidos,44260,Si,ATLANTICO,2.47,205751
1 Muestra,Periodicas,5921381,Anulada,75,EMP225 UNIDOS POR COLOMBIA MICRO AL 75%,FUNDACION DELAMUJER COLOMBIA SAS,6141887,6140060,4605045,Consolidacion de pasivos no permitida,44286,NO,CUNDINAMARCA,16.22,1185495
1 Muestra,Periodicas,6074797,Anulada,75,EMP225 UNIDOS POR COLOMBIA MICRO AL 75%,FUNDACION DELAMUJER COLOMBIA SAS,1422193,1420005,1065004,Consolidacion de pasivos no permitida,44286,NO,ATLANTICO,14.75,249630
2 Muestra,Periodicas,6796563,Anulada,75,EMP225 UNIDOS POR COLOMBIA MICRO AL 75%,BANCAMIA SA,10156300,10156300,7617225,Incumplimiento en tamaño del deudor,44358,NO,LOS CORDOBAS,14.75,1782685
3 Muestra,Periodicas,7051287,Anulada,90,EMP223 UNIDOS POR COLOMBIA PEQ EMPRESA AL 90%,BANCOLOMBIA,30000000,30000000,27000000,Incumplimiento en tamaño del deudor,44215,NO,CALI,2.72,971040
10 Muestra,Periodicas,7894565,Anulada,80,EMP223 UNIDOS POR COLOMBIA PEQ EMPRESA AL 80%,BANCOLOMBIA,50000000,41666666,33333333,Incumplimiento en tamaño del deudor,44620,NO,CÚCUTA,3.85,2290750
10 Muestra,Periodicas,7880383,Anulada,50,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,BANCOLOMBIA,40000000,37059169,18529585,Incumplimiento en tamaño del deudor,44620,NO,MANIZALES,4.15,1975400
10 Muestra,Periodicas,7895030,Anulada,80,EMP223 UNIDOS POR COLOMBIA PEQ EMPRESA AL 80%,BANCOLOMBIA,2000000000,1000000000,800000000,Incumplimiento en tamaño del deudor,44620,NO,PASTO,3.85,91630000
10 Muestra,Periodicas,7905472,Anulada,50,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,COOPSERVIVELEZ LTDA,40000000,38026949,19013475,Incumplimiento en tamaño del deudor,44620,NO,PUERTO PARRA,3.15,1499400
10 Muestra,Periodicas,7931210,Anulada,80,EMP219 UNIDOS POR COLOMBIA MICRO AL 80%,COOPDE AHORRO Y CREDCOFINAL,3000000,2302730,1842184,Incumplimiento en tamaño del deudor,44620,NO,PASTO,3.85,137445
10 Muestra,Periodicas,7924094,Anulada,80,EMP219 UNIDOS POR COLOMBIA MICRO AL 80%,BANCO CREDIFINANCIERA SA,6000000,5830886,4664709,Incumplimiento en tamaño del deudor,44620,NO,BOGOTA,5.6,361284
10 Muestra,Periodicas,7900650,Anulada,80,EMP223 UNIDOS POR COLOMBIA PEQ EMPRESA AL 80%,BANCO CAJA SOCIAL ,200000000,166664000,133331200,Incumplimiento en tamaño del deudor,44620,NO,LA ESTRELLA,3.85,9163000
10 Muestra,Periodicas,7938154,Anulada,80,EMP219 UNIDOS POR COLOMBIA MICRO AL 80%,CORPORACIÓN INTERACTUAR,800000,884381,707505,Incumplimiento en tamaño del deudor,44620,NO,MEDELLIN,3.85,36652
10 Muestra,Periodicas,7911306,Anulada,80,EMP219 UNIDOS POR COLOMBIA MICRO AL 80%,COOPSANSIMON,1590422,665789,532631,Plazo incumplido para el producto,44620,NO,IBAGUE,3.85,72865
10 Muestra,Periodicas,7934384,Anulada,25,EMP023 MICROCREDITO EMPRESARIAL ,BANCO W SA,1117444,581917,145479,Calificacion no autorizada,44620,NO,BOGOTA,2.4,31914
10 Muestra,Periodicas,7924482,Anulada,80,EMP219 UNIDOS POR COLOMBIA MICRO AL 80%,FUNDACION COOMEVA,53000000,53000000,42400000,Plazo incumplido para el producto,44620,NO,CALI,3.85,2428195
10 Muestra,Periodicas,7875107,Anulada,90,EMP219 UNIDOS POR COLOMBIA MICRO AL 90%,FUNDACION AMANECER,3200000,3074576,2767118,Incumplimiento en tamaño del deudor,44620,NO,DUITAMA,3.89,148131
11 Muestra,Periodicas,8004180,Anulada,50,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,BANCOLOMBIA,290000000,290000000,145000000,Incumplimiento en tamaño del deudor,44620,NO,MEDELLIN,4.15,14321650
11 Muestra,Periodicas,8024400,Anulada,80,EMP219 UNIDOS POR COLOMBIA MICRO AL 80%,COOPDE AHORRO Y CREDCOFINAL,45000000,43621861,34897489,Incumplimiento en tamaño del deudor,44620,NO,TAMINANGO,5.56,2977380
11 Muestra,Periodicas,8003912,Anulada,40,EMP023 MICROCREDITO EMPRESARIAL ,BANCO DE BOGOTA,2298800,2062070,824828,Incumplimiento en tamaño del deudor,44620,NO,ZIPAQUIRA,8.1,221581
11 Muestra,Periodicas,8038238,Anulada,40,EMP103 MICROFINANZAS ESPECIALIZADAS,BANCO DE BOGOTA,15000000,13901636,5560654,Incumplimiento en tamaño del deudor,44620,NO,PALMIRA,14.65,2615025
11 Muestra,Periodicas,7976246,Anulada,75,EMP225 UNIDOS POR COLOMBIA MICRO AL 75%,BANCO W SA,6673868,6673868,5005401,Incumplimiento en tamaño del deudor,44620,NO,TENJO,17.69,1404923
11 Muestra,Periodicas,8024123,Anulada,80,EMP219 UNIDOS POR COLOMBIA MICRO AL 80%,FUNDACION COOMEVA,35000000,33112513,26490010,Plazo incumplido para el producto,44620,NO,BOGOTA,3.85,1603525
11 Muestra,Periodicas,8006122,Anulada,80,EMP223 UNIDOS POR COLOMBIA PEQ EMPRESA AL 80%,FUNDACION MARIO SANTO DOMINGO,120000000,120000000,96000000,El producto no permite este tipo de cartera,44620,NO,CARTAGENA DE INDIAS,5.56,7939680
11 Muestra,Periodicas,8026178,Anulada,80,EMP223 UNIDOS POR COLOMBIA PEQ EMPRESA AL 80%,MIBANCO SA,42500000,36688129,29350503,Incumplimiento en tamaño del deudor,44620,NO,MEDELLIN,4.7,2377025
12 Muestra,Periodicas,8103460,Anulada,80,EMP223 UNIDOS POR COLOMBIA PEQ EMPRESA AL 80%,FINANCAP,7000000,6041370,4833096,Incumplimiento en tamaño del deudor,44620,NO,BARRANQUILLA,3.85,320705
12 Muestra,Periodicas,8066511,Anulada,50,EMP023 MICROCREDITO EMPRESARIAL ,COOPDE AHORRO Y CREDCOFINAL,10000000,9511799,4755900,Incumplimiento en tamaño del deudor,44620,NO,GUACHUCAL,9.35,1112650
12 Muestra,Periodicas,8085149,Anulada,80,EMP219 UNIDOS POR COLOMBIA MICRO AL 80%,COOPDE AHORRO Y CREDCOFINAL,50000000,46685571,37348457,Incumplimiento en tamaño del deudor,44620,NO,EL CERRITO,5.56,3308200
12 Muestra,Periodicas,8079919,Anulada,80,EMP223 UNIDOS POR COLOMBIA PEQ EMPRESA AL 80%,CONTACTAR,158116000,121476988,97181590,Incumplimiento en tamaño del deudor,44620,NO,PASTO,3.85,7244085
12 Muestra,Periodicas,8072121,Anulada,80,EMP219 UNIDOS POR COLOMBIA MICRO AL 80%,FUNDACION COOMEVA,20000000,19190713,15352570,Plazo incumplido para el producto,44620,NO,CALI,3.85,916300
12 Muestra,Periodicas,8091413,Anulada,75,EMP225 UNIDOS POR COLOMBIA MICRO AL 75%,FUNDACION COOMEVA,28480000,27676555,20757416,Plazo incumplido para el producto,44620,NO,PEREIRA,14.75,4998952
12 Muestra,Periodicas,8065003,Anulada,80,EMP223 UNIDOS POR COLOMBIA PEQ EMPRESA AL 80%,FUNDACION MARIO SANTO DOMINGO,160273533,156630953,125304762,El producto no permite este tipo de cartera,44620,NO,CARTAGENA DE INDIAS,6.41,12225505
12 Muestra,Periodicas,8088959,Anulada,70,EMP203 UNIDOS POR COLOMBIA TRABINDEPAL 70%,BANCO DAVIVIENDA,20000000,20000000,14000000,Incumplimiento en tamaño del deudor,44620,NO,BOGOTA,4.87,1159060
12 Muestra,Periodicas,8063900,Anulada,80,EMP219 UNIDOS POR COLOMBIA MICRO AL 90%,FUNDACION AMANECER,4000000,3214222,2571378,Incumplimiento en tamaño del deudor,44620,NO,ACACIAS,3.85,183260
12 Muestra,Periodicas,8060950,Anulada,80,EMP223 UNIDOS POR COLOMBIA PEQ EMPRESA AL 80%,MIBANCO SA,60000000,55110636,44088509,Incumplimiento en tamaño del deudor,44620,NO,SAN FERNANDO,5.56,3969840
12 Muestra,Periodicas,8072029,Anulada,80,EMP223 UNIDOS POR COLOMBIA PEQ EMPRESA AL 80%,CREZCAMOS SA,90000000,86402534,69122027,Incumplimiento en tamaño del deudor,44620,NO,BUCARAMANGA,3.85,4123350
12 Muestra,Periodicas,8113763,Anulada,80,EMP219 UNIDOS POR COLOMBIA MICRO AL 80%,CREZCAMOS SA,5000000,4664213,3731370,Incumplimiento en tamaño del deudor,44620,NO,EL PASO,3.85,229075
13 Muestra,Periodicas,8126967,Anulada,80,EMP219 UNIDOS POR COLOMBIA MICRO AL 80%,COOPDE AHORRO Y CREDCOFINAL,30000000,28657262,22925810,Comisión no permitida,44620,NO,EL TAMBO-52,5.56,1984920
13 Muestra,Periodicas,8135456,Anulada,80,EMP219 UNIDOS POR COLOMBIA MICRO AL 80%,COOPDE AHORRO Y CREDCOFINAL,30000000,27913373,22330698,Comisión no permitida,44620,NO,TAMINANGO,4.7,1677900
13 Muestra,Periodicas,8148498,Anulada,75,EMP225 UNIDOS POR COLOMBIA MICRO AL 75%,FUNDACION COOMEVA,35400000,34401338,25801004,Incumplimiento en tamaño del deudor,44620,NO,CALI,14.75,6213585
13 Muestra,Periodicas,8152343,Anulada,80,EMP219 UNIDOS POR COLOMBIA MICRO AL 80%,FUNDACION COOMEVA,21000000,20158450,16126760,No presenta Soporte Art 311,44620,NO,BARRANQUILLA,3.85,962115
13 Muestra,Periodicas,8166470,Anulada,50,EMP023 MICROCREDITO EMPRESARIAL ,FUNDACION COOMEVA,16000000,15576459,7788230,Incumplimiento en tamaño del deudor,44620,NO,PALMIRA,5.3,1009120
13 Muestra,Periodicas,8163072,Anulada,80,EMP223 UNIDOS POR COLOMBIA PEQ EMPRESA AL 80%,MIBANCO SA,42000000,39186815,31349452,Incumplimiento en tamaño del deudor,44620,NO,MEDELLIN,4.7,2349060
14 Muestra,Periodicas,8216731,Anulada,80,EMP219 UNIDOS POR COLOMBIA MICRO AL 80%,FUNDACION COOMEVA,30000000,29617592,23694074,Plazo incumplido para el producto,44620,NO,BARRANQUILLA,3.85,1374450
ABL Capital SAS,Demanda,5536418,Anulada,50,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,ABL CAPITAL SAS,75000000,46700395,23350198,Calificacion no autorizada,44456,NO,BOGOTA,2.95,2632875
ABL Capital SAS,Demanda,5605990,Anulada,50,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,ABL CAPITAL SAS,53554777,19116512,9558256,Consolidacion de pasivos no permitida,44456,NO,DOSQUEBRADAS,2.95,1880040
ABL Capital SAS,Demanda,5583492,Anulada,60,EMP201 UNIDOS POR COLOMBIA PYMES AL 60%,ABL CAPITAL SAS,232709444,139742023,83845214,Calificacion no autorizada,44456,NO,BOGOTA,1.97,5455407
ABL Capital SAS,Demanda,5576688,Anulada,50,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,ABL CAPITAL SAS,124999999,26794980,13397490,Calificacion no autorizada,44456,NO,BOGOTA,0.98,1457750
ABL Capital SAS,Demanda,5575206,Anulada,50,EMP080 GARANTÍA PYME PREFERENTE,ABL CAPITAL SAS,122670856,93125446,46562723,Calificacion no autorizada,44456,NO,BOGOTA,1.9,2773588
ABL Capital SAS,Demanda,5511951,Anulada,50,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,ABL CAPITAL SAS,60000000,31456659,15728330,Calificacion no autorizada,44456,NO,BOGOTA,2.95,2106300
ABL Capital SAS,Demanda,6418289,Anulada,50,EMP200 CUPOS ROTATIVOS GLOBALES,ABL CAPITAL SAS,80000000,80000000,40000000,Calificacion no autorizada,44456,NO,BOGOTA,0.35,333200
ABL Capital SAS,Demanda,6931615,Anulada,50,EMP200 CUPOS ROTATIVOS GLOBALES,ABL CAPITAL SAS,30500000,17174166,8587083,Calificacion no autorizada,44456,NO,BOGOTA,0.35,127033
ABL Capital SAS,Demanda,7179630,Anulada,50,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,ABL CAPITAL SAS,120000000,71257032,35628516,Calificacion no autorizada,44456,NO,MELGAR,3.4,4855200
ABL Capital SAS,Demanda,6396265,Anulada,50,EMP200 CUPOS ROTATIVOS GLOBALES,ABL CAPITAL SAS,35000000,7731625,3865813,Calificacion no autorizada,44456,NO,BOGOTA,0.35,145775
ABL Capital SAS,Demanda,6920360,Anulada,50,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,ABL CAPITAL SAS,45000000,45000000,22500000,Calificacion no autorizada,44456,NO,BOGOTA,3.4,1820700
DI - Banco Finandina,Demanda,6716199,Vigente,40,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,BANCO FINANDINA SA,13360000,11965517,4786207,Diferencia tipo de cartera entre los soportes,44456,SI,No aplica,11.9,1763133
DI - Banco Finandina,Demanda,6542904,Vigente,40,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,BANCO FINANDINA SA,100000000,81264239,32505696,Diferencia tipo de cartera entre los soportes,44456,SI,No aplica,9.57,11388300
DI - Banco Finandina,Demanda,6811756,Extinguida - Saldada,40,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,BANCO FINANDINA SA,40000000,9073085,3629234,Diferencia tipo de cartera entre los soportes,44821,Si,No aplica,11.9,5278840
DI - Banco Finandina,Demanda,6412413,Extinguida - Saldada,50,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,BANCO FINANDINA SA,43000000,39107304,19553652,Diferencia tipo de cartera entre los soportes,44821,Si,No aplica,10.17,5203989
DI - Banco Finandina,Demanda,6857498,Extinguida - Saldada,50,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,BANCO FINANDINA SA,136800000,2651705,1325853,Diferencia tipo de cartera entre los soportes,44821,Si,No aplica,11.66,18981547
DI - Banco Finandina,Demanda,7035053,Vigente,40,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,BANCO FINANDINA SA,18540000,16363692,6545477,Diferencia tipo de cartera entre los soportes,44456,Si,No aplica,9.67,2133453
DI - Banco Finandina,Demanda,6545287,Extinguida - Saldada,40,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,BANCO FINANDINA SA,60000000,30472005,12188802,Diferencia tipo de cartera entre los soportes,44456,Si,No aplica,9.57,6832980
DI - Banco Finandina,Demanda,6691684,Extinguida - Saldada,40,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,BANCO FINANDINA SA,72800000,324577,129831,Diferencia tipo de cartera entre los soportes,44821,Si,No aplica,9.57,8290682
DI - Banco Finandina,Demanda,7119290,Vigente,40,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,BANCO FINANDINA SA,40000000,33734652,13493861,Diferencia tipo de cartera entre los soportes,44456,Si,No aplica,9.57,4555320
DI - Banco Finandina,Demanda,7496270,Anulada,50,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,BANCO FINANDINA SA,132211263,123961215,61980608,Diferencia en fecha y monto de desembolso,44456,NO,No aplica,11.29,17762715
DI - Banco Finandina,Demanda,7496274,Anulada,50,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,BANCO FINANDINA SA,139033957,129541707,64770854,Diferencia en fecha y monto de desembolso,44456,NO,No aplica,10.77,17819009
DI - Banco Finandina,Demanda,7496279,Extinguida - Saldada,50,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,BANCO FINANDINA SA,129510977,118688522,59344261,Diferencia tipo de cartera entre los soportes,44821,Si,No aplica,6.65,10248851
DI - Banco Finandina,Demanda,6860822,Vigente,40,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,BANCO FINANDINA SA,95805000,77602572,31041029,Diferencia tipo de cartera entre los soportes,44456,Si,No aplica,9.57,10910561
DI - Banco Finandina,Demanda,7063464,Vigente,40,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,BANCO FINANDINA SA,25000000,22657804,9063122,Diferencia tipo de cartera entre los soportes,44456,Si,No aplica,11.9,3299275
DI - Banco Finandina,Demanda,7843476,Anulada,50,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,BANCO FINANDINA SA,22579191,18837064,9418532,Diferencia tipo de cartera entre los soportes,44456,NO,No aplica,10.2,2692298
DI - Banco Finandina,Demanda,7843479,Anulada,50,EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO,BANCO FINANDINA SA,50000000,49205647,24602824,Diferencia en fecha y monto de desembolso,44456,NO,No aplica,11.66,6937700
