No ;Muestra;Garantía;Estado actual SAP;Cobertura;Nombre producto ;Intermediario ;TPID Deudor;ID Deudor;Nombre Deudor; Valor desembolso Anexo 5 ;AUDITOR; SALDO DE CREDITO ; SALDO GARANTIZADO ;FECHA DE CORTE DEL SALDO;FECHA INICIO DE MORA;Clasificación Motivo de anulación (Incumplimiento);Fecha de anulacion;Reactivación;Ciudad
16;1 Muestra;5619413;Anulada;90;EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%;BANCOLOMBIA;NIT;8300382557; OXICORTES BARBOSA LIMITADA;$ 14.400.000;No aplica;$ 11.032.021;$ 9.928.819;11/03/2021;-;No presenta soporte documental de pago PILA;5/03/2021;NO;BOGOTA
17;1 Muestra;6138146;Vigente;50;EMP023 MICROCREDITO EMPRESARIAL ;BANCO AGRARIO;CC;24219043;RIBON RUBIANO YOLANDA;$ 17.600.000;No aplica;$ 9.428.560;$ 4.714.280;31/01/2022;-;Amortizacion no autorizada;12/05/2022;Si;BOYACA
18;1 Muestra;6223834;Vigente;50;EMP075 REPOSICION PARQUE AUTOMOTOR CREDITO*;BANCO DAVIVIENDA;CC;80093869;CASTELLANOS BARON WILLIAM EDUARDO;$ 307.603.236;Oscar Reyes;$ 228.139.887;$ 114.069.944;31/01/2022;-;No presenta soporte registro runt;5/03/2021;Si;BOGOTA
19;1 Muestra;6223826;Vigente;50;EMP075 REPOSICION PARQUE AUTOMOTOR CREDITO*;BANCO DAVIVIENDA;CC;80093869;CASTELLANOS BARON WILLIAM EDUARDO;$ 411.433.832;Oscar Reyes;$ 292.738.500;$ 146.369.250;31/01/2022;-;No presenta soporte registro runt;7/09/2020;Si;BOGOTA
20;1 Muestra;5929517;Vigente;50;EMP075 REPOSICION PARQUE AUTOMOTOR CREDITO*;BANCO DAVIVIENDA;CC;70909133;ISMAEL CEBALLOS;$ 151.451.464;Oscar Reyes;$ 108.823.788;$ 54.411.894;31/01/2022;-;No presenta soporte registro runt;17/07/2020;Si;ANTIOQUIA
21;1 Muestra;5568789;Vigente;50;EMP076 REPOSICION PARQUE AUTOMOTOR LEASING*;BANCO DAVIVIENDA;CC;3048291;CELSO LEONARDO NINNO BONILLA;$ 436.024.066;Oscar Reyes;$ 233.669.870;$ 116.834.935;31/01/2022;-;No presenta soporte registro runt;5/03/2021;Si;CUNDINAMARCA
22;1 Muestra;5844659;Vigente;50;EMP076 REPOSICION PARQUE AUTOMOTOR LEASING*;BANCO DAVIVIENDA;CC;13196092;CHINCHILLA RANGEL CARLOS ALONSO;$ 478.281.260;Oscar Reyes;$ 350.863.885;$ 175.431.943;31/01/2022;-;No presenta soporte registro runt;5/03/2021;Si;NORTE SANTANDER
23;1 Muestra;5565900;Vigente;50;EMP076 REPOSICION PARQUE AUTOMOTOR LEASING*;BANCO DAVIVIENDA;CC;79433096;BOLAÑOS CADENA JAMES;$ 275.203.450;Oscar Reyes;$ 225.890.973;$ 112.945.487;31/01/2022;-;No presenta soporte registro runt;5/03/2021;Si;BOGOTA
24;1 Muestra;5551269;Vigente;50;EMP076 REPOSICION PARQUE AUTOMOTOR LEASING*;BANCO DAVIVIENDA;CC;86048175;ELKIN GIOVANNY MOYA DUARTE;$ 360.297.989;Oscar Reyes;$ 282.422.632;$ 141.211.316;31/01/2022;-;No presenta soporte registro runt;5/03/2021;Si;META
25;1 Muestra;5525345;Vigente;50;EMP076 REPOSICION PARQUE AUTOMOTOR LEASING*;BANCO DAVIVIENDA;CC;13824366;RODRIGUEZ MARIN MARCO FIDEL;$ 512.005.926;Oscar Reyes;$ 451.056.023;$ 225.528.012;31/01/2022;16/01/2022;No presenta soporte registro runt;5/03/2021;Si;SANTANDER
26;1 Muestra;5844332;Vigente;50;EMP076 REPOSICION PARQUE AUTOMOTOR LEASING*;BANCO DAVIVIENDA;CC;47432839;MARGARETH GRANADOS DIAZ;$ 513.430.996;Oscar Reyes;$ 405.560.307;$ 202.780.154;31/01/2022;29/01/2022;No presenta soporte registro runt;5/03/2021;Si;BOGOTA
27;1 Muestra;6586172;Anulada;80;EMP201 UNIDOS POR COLOMBIA MED EMPRESA AL 80%;BANCO DAVIVIENDA;CC;1113631365;GARCIA DE LA CRUZ SANDRA PATRI;$ 53.000.000;No aplica;$ 53.000.000;$ 42.400.000;28/02/2021;-;Incumplimiento en tamaño del deudor;31/03/2021;NO;VALLE
28;1 Muestra;5861451;Anulada;90;EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%;BANCO DAVIVIENDA;NIT;9008347190;DATASERVICIOS;$ 18.885.856;No aplica;$ 11.309.628;$ 10.178.665;28/02/2021;-;No presenta soporte documental de pago PILA;31/03/2021;NO;BOGOTA
29;1 Muestra;5732047;Anulada;90;EMP202 UNIDOS POR COLOMBIA NOMINAS PYMES AL 90%;BANCO DAVIVIENDA;NIT;9002909359;ASESORIAS DEFENSAS Y PROYECTOS;$ 34.353.124;No aplica;$ 34.353.124;$ 30.917.812;30/09/2020;-;No presenta soporte documental de pago PILA;3/11/2020;NO;BOGOTA
30;1 Muestra;5707294;Anulada;80;EMP203 UNIDOS POR COLOMBIA TRABINDEPAL 80%;BANCO DAVIVIENDA;CC;65553178;OVIEDO ALEXANDRA;$ 9.500.000;No aplica;$ 6.206.675;$ 4.965.340;28/02/2021;-;Periodo de gracia no cumple con los requisitos exigidos;5/03/2021;NO;BOGOTA
31;1 Muestra;6133320;Anulada;80;EMP203 UNIDOS POR COLOMBIA TRABINDEPAL 80%;BANCO DAVIVIENDA;CC;39702792;CLARA ADELA ARIAS RAMIREZ;$ 10.000.000;No aplica;$ 7.889.367;$ 6.311.494;28/02/2021;-;Periodo de gracia no cumple con los requisitos exigidos;5/03/2021;NO;BOGOTA
32;1 Muestra;5764920;Anulada;80;EMP203 UNIDOS POR COLOMBIA TRABINDEPAL 80%;BANCO DAVIVIENDA;CC;39695567;ROJAS ROJAS MONICA;$ 7.000.000;No aplica;$ 4.908.946;$ 3.927.157;28/02/2021;-;Periodo de gracia no cumple con los requisitos exigidos;5/03/2021;NO;BOGOTA
33;1 Muestra;6101068;Anulada;80;EMP203 UNIDOS POR COLOMBIA TRABINDEPAL 80%;BANCO DAVIVIENDA;CC;79600326;CARLOS ERNESTO CASALLAS RODRIGUEZ;$ 5.000.000;No aplica;$ 3.669.095;$ 2.935.276;28/02/2021;-;Periodo de gracia no cumple con los requisitos exigidos;5/03/2021;NO;BOGOTA
34;1 Muestra;6342068;Anulada;80;EMP203 UNIDOS POR COLOMBIA TRABINDEPAL 80%;BANCO FALABELLA SA;CC;71599091;LUIS FERNANDO LUIS FERNANDO BOHORQU;$ 1.200.000;No aplica;$ 1.137.625;$ 910.100;31/12/2020;-;Incumplimiento en tamaño del deudor;5/03/2021;NO;ANTIOQUIA
35;1 Muestra;5975814;Anulada;80;EMP203 UNIDOS POR COLOMBIA TRABINDEPAL 80%;ITAU;CC;5937830;JOSE GUILLERMO CASTRO;$ 3.388.619;No aplica;$ 3.163.484;$ 2.530.787;28/02/2021;-;Incumplimiento en tamaño del deudor;5/03/2021;NO;CUNDINAMARCA
36;1 Muestra;6410391;Anulada;80;EMP203 UNIDOS POR COLOMBIA TRABINDEPAL 80%;BANCO SERFINANZA SA;CC;45473955;YAQUELINES  FORTICH IGLESIA;$ 20.000.000;No aplica;$ 11.032.021;$ 8.825.617;11/03/2021;-;No presenta soporte documental de pago PILA;5/03/2021;NO;ATLANTICO
37;1 Muestra;6409655;Anulada;75;EMP225 UNIDOS POR COLOMBIA MICRO AL 75%;BANCO W SA;CC;10140758;JOSE FERNANDO GRISALES TORRES;$ 3.233.376;No aplica;$ 3.233.376;$ 2.425.032;28/02/2021;-;Incumplimiento en tamaño del deudor;5/03/2021;NO;RISARALDA
38;1 Muestra;6288096;Anulada;60;EMP226 UNIDOS POR COLOMBIA MICRO INFORMALES 60%;BANCO W SA;CC;1118303671;CRISTIAN DAVID CORRALES GARCIA;$ 3.033.376;No aplica;$ 3.033.376;$ 1.820.026;28/02/2021;-;Consolidacion de pasivos no permitida;31/03/2021;NO;RISARALDA
39;1 Muestra;6540584;Anulada;60;EMP226 UNIDOS POR COLOMBIA MICRO INFORMALES 60%;BANCO W SA;CC;49765874;CAROLINA MOJICA MORENO;$ 1.515.103;No aplica;$ 1.515.103;$ 909.062;30/11/2020;-;Consolidacion de pasivos no permitida;5/03/2021;NO;CESAR
40;1 Muestra;6132046;Anulada;75;EMP225 UNIDOS POR COLOMBIA MICRO AL 75%;BANCO W SA;CC;16840872;BERTY CARRENO TORRES;$ 10.589.268;No aplica;$ 10.507.255;$ 7.880.441;31/08/2020;-;Consolidacion de pasivos no permitida;19/06/2020;NO;VALLE
41;1 Muestra;6549621;Extinguida - Saldada;50;EMP023 MICROCREDITO EMPRESARIAL *;CONTACTAR;CC;59830582;LUZ VELIA YAMPUEZAN GUERRERO;$ 1.159.680;No aplica;$ 336.277;$ 168.139;7/07/2021;-;Comisión no permitida;5/03/2021;Si;NARIÑO
42;1 Muestra;6260067;Anulada;70;EMP219 UNIDOS POR COLOMBIA MICRO AL 70%;CONTACTAR;CC;1088972343;BELTRAN PORTILLA MIGUEL ANGEL;$ 12.264.472;No aplica;$ 789.585;$ 552.710;2/01/2021;-;Incumplimiento en tamaño del deudor;31/03/2021;NO;NARIÑO
43;1 Muestra;6308572;Anulada;70;EMP219 UNIDOS POR COLOMBIA MICRO AL 70%;CONTACTAR;CC;37001303;CRUZ BOLAÑOS ANA MARIELA;$ 1.165.731;No aplica;$ 1.099.803;$ 769.862;2/01/2021;-;Incumplimiento en tamaño del deudor;7/01/2021;NO;NARIÑO
44;1 Muestra;6271005;Anulada;70;EMP219 UNIDOS POR COLOMBIA MICRO AL 70%;CONTACTAR;CC;1848981;CHALACA QUITIAQUEZ JESUS ERASMO;$ 6.619.048;No aplica;$ 5.569.427;$ 3.898.599;2/01/2021;-;Incumplimiento en el requisito de altura de mora;7/01/2021;NO;NARIÑO
45;1 Muestra;6258872;Anulada;70;EMP219 UNIDOS POR COLOMBIA MICRO AL 70%;CONTACTAR;CC;30724277;FIGUEROA EMMA ROSALBA;$ 4.572.740;No aplica;$ 4.203.000;$ 2.942.100;2/01/2021;-;Incumplimiento en el requisito de altura de mora;7/01/2021;NO;NARIÑO
46;1 Muestra;5689494;Anulada;80;EMP223 UNIDOS POR COLOMBIA MICRO AL 80%;FUNDACION COOMEVA;CC;1065632266;ESTEBAN DE JESUS VEGA SARMIENTO;$ 7.000.000;No aplica;$ 7.000.000;$ 5.600.000;10/09/2020;-;Periodo de gracia no cumple con los requisitos exigidos;5/03/2021;Si;ATLANTICO
47;1 Muestra;5921381;Anulada;75;EMP225 UNIDOS POR COLOMBIA MICRO AL 75%;FUNDACION DELAMUJER COLOMBIA SAS;CC;98453074;FABIO DE JESUS LONDOÑO VELEZ;$ 6.141.887;No aplica;$ 6.140.060;$ 4.605.045;30/09/2020;-;Consolidacion de pasivos no permitida;31/03/2021;NO;CUNDINAMARCA
48;1 Muestra;6074797;Anulada;75;EMP225 UNIDOS POR COLOMBIA MICRO AL 75%;FUNDACION DELAMUJER COLOMBIA SAS;CC;22544148;LEDEIMA LUZ CEPEDA PIZARRO;$ 1.422.193;No aplica;$ 1.420.005;$ 1.065.004;30/09/2020;-;Consolidacion de pasivos no permitida;31/03/2021;NO;ATLANTICO
49;2 Muestra;6796563;Anulada;75;EMP225 UNIDOS POR COLOMBIA MICRO AL 75%;BANCAMIA SA;CC;39492005;GUERRA TINOCO YENIFFER;$ 10.156.300;Carolina Restrepo;$ 10.156.300;$ 7.617.225;31/05/2021;-;Incumplimiento en tamaño del deudor;11/06/2021;NO;LOS CORDOBAS
50;3 Muestra;7051287;Anulada;90;EMP223 UNIDOS POR COLOMBIA PEQ EMPRESA AL 90%;BANCOLOMBIA;NIT;9012285214;INVERSINVERSIONES DDH O SAS;$ 30.000.000;Iván Benavidez;$ 30.000.000;$ 27.000.000;31/12/2020;-;Incumplimiento en tamaño del deudor;19/01/2021;NO;CALI
51;10 Muestra;7894565;Anulada;80;EMP223 UNIDOS POR COLOMBIA PEQ EMPRESA AL 80%;BANCOLOMBIA;NIT;9013050481;CARNES FRÍAS LA ESPECIAL SAS;$ 50.000.000;Carolina Restrepo;$ 41.666.666;$ 33.333.333;31/01/2022;-;Incumplimiento en tamaño del deudor;28/02/2022;NO;CÚCUTA
52;10 Muestra;7880383;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCOLOMBIA;CC;75071278;GUTIERREZ JIMENEZ JOSE RUBIEL;$ 40.000.000;Carolina Restrepo;$ 37.059.169;$ 18.529.585;30/09/2021;-;Incumplimiento en tamaño del deudor;28/02/2022;NO;MANIZALES
53;10 Muestra;7895030;Anulada;80;EMP223 UNIDOS POR COLOMBIA PEQ EMPRESA AL 80%;BANCOLOMBIA;NIT;9012158552;PRODUCTOS LA VILLA SAS;$ 2.000.000.000;Carolina Restrepo;$ 1.000.000.000;$ 800.000.000;31/01/2022;-;Incumplimiento en tamaño del deudor;28/02/2022;NO;PASTO
54;10 Muestra;7905472;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;COOPSERVIVELEZ LTDA;CC;20828743;BULLA  MARIA BELLANIRA JANEHT;$ 40.000.000;Carolina Restrepo;$ 38.026.949;$ 19.013.475;31/01/2022;12/01/2022;Incumplimiento en tamaño del deudor;28/02/2022;NO;PUERTO PARRA
55;10 Muestra;7931210;Anulada;80;EMP219 UNIDOS POR COLOMBIA MICRO AL 80%;COOPDE AHORRO Y CREDCOFINAL;CC;12992311;RIASCOS GUERRERO LUIS ANTONIO;$ 3.000.000;Lina Sarmiento;$ 2.302.730;$ 1.842.184;10/12/2021;-;Incumplimiento en tamaño del deudor;28/02/2022;NO;PASTO
56;10 Muestra;7924094;Anulada;80;EMP219 UNIDOS POR COLOMBIA MICRO AL 80%;BANCO CREDIFINANCIERA SA;CC;1023877071;GARCIA SUAREZ SULY ESPERANZA;$ 6.000.000;Lina Sarmiento;$ 5.830.886;$ 4.664.709;30/09/2021;-;Incumplimiento en tamaño del deudor;28/02/2022;NO;BOGOTA
57;10 Muestra;7900650;Anulada;80;EMP223 UNIDOS POR COLOMBIA PEQ EMPRESA AL 80%;BANCO CAJA SOCIAL ;NIT;9001358935;TRANSPORTE DE LOGISTICA AND;$ 200.000.000;Carolina Restrepo;$ 166.664.000;$ 133.331.200;31/01/2022;-;Incumplimiento en tamaño del deudor;28/02/2022;NO;LA ESTRELLA
58;10 Muestra;7938154;Anulada;80;EMP219 UNIDOS POR COLOMBIA MICRO AL 80%;CORPORACIÓN INTERACTUAR;CC;1004071998;GONZALEZ FIGUEROA FRAICER;$ 800.000;Carolina Restrepo;$ 884.381;$ 707.505;31/12/2021;2/09/2021;Incumplimiento en tamaño del deudor;28/02/2022;NO;MEDELLIN
59;10 Muestra;7911306;Anulada;80;EMP219 UNIDOS POR COLOMBIA MICRO AL 80%;COOPSANSIMON;CC;17634215;TRUJILLO VALDERRAMA ARCADIO;$ 1.590.422;Carolina Restrepo;$ 665.789;$ 532.631;31/12/2021;-;Plazo incumplido para el producto;28/02/2022;NO;IBAGUE
60;10 Muestra;7934384;Anulada;25;EMP023 MICROCREDITO EMPRESARIAL *;BANCO W SA;CC;35492861;OSORIO DIAZ LUZ ELENA;$ 1.117.444;Carolina Restrepo;$ 581.917;$ 145.479;30/11/2021;-;Calificacion no autorizada;28/02/2022;NO;BOGOTA
61;10 Muestra;7924482;Anulada;80;EMP219 UNIDOS POR COLOMBIA MICRO AL 80%;FUNDACION COOMEVA;CC;66864252;CARDONA VARGAS YANETH PATRICIA;$ 53.000.000;Lina Sarmiento;$ 53.000.000;$ 42.400.000;31/01/2022;-;Plazo incumplido para el producto;28/02/2022;NO;CALI
62;10 Muestra;7875107;Anulada;90;EMP219 UNIDOS POR COLOMBIA MICRO AL 90%;FUNDACION AMANECER;CC;74377681;GONZALEZ RANGEL RUBEN DARIO;$ 3.200.000;Carolina Restrepo;$ 3.074.576;$ 2.767.118;31/01/2022;5/09/2021;Incumplimiento en tamaño del deudor;28/02/2022;NO;DUITAMA
63;11 Muestra;8004180;Anulada;50;EMP001 GARANTÍA EMPRESARIAL MULTIPROPÓSITO;BANCOLOMBIA;NIT;9004962737;THE FRESH WAY SAS;$ 290.000.000;Lina Sarmiento;$ 290.000.000;$ 145.000.000;31/01/2022;-;Incumplimiento en tamaño del deudor;28/02/2022;NO;MEDELLIN
64;11 Muestra;8024400;Anulada;80;EMP219 UNIDOS POR COLOMBIA MICRO AL 80%;COOPDE AHORRO Y CREDCOFINAL;CC;59862452;MARTINEZ DAZA DEYSY MARBETH;$ 45.000.000;Oscar Reyes;$ 43.621.861;$ 34.897.489;10/12/2021;-;Incumplimiento en tamaño del deudor;28/02/2022;NO;TAMINANGO
65;11 Muestra;8003912;Anulada;40;EMP023 MICROCREDITO EMPRESARIAL *;BANCO DE BOGOTA;CC;1003845182;MUÑOZ RIVERA ROBINSON NICOLAS;$ 2.298.800;Lina Sarmiento;$ 2.062.070;$ 824.828;31/01/2022;-;Incumplimiento en tamaño del deudor;28/02/2022;NO;ZIPAQUIRA
66;11 Muestra;8038238;Anulada;40;EMP103 MICROFINANZAS ESPECIALIZADAS;BANCO DE BOGOTA;CC;1075215067;ROJAS DIAZ JOHANNA MARIA;$ 15.000.000;Carolina Restrepo;$ 13.901.636;$ 5.560.654;31/01/2022;-;Incumplimiento en tamaño del deudor;28/02/2022;NO;PALMIRA
67;11 Muestra;7976246;Anulada;75;EMP225 UNIDOS POR COLOMBIA MICRO AL 75%;BANCO W SA;CC;3085697;SALAMANCA CALDERON GUSTAVO;$ 6.673.868;Lina Sarmiento;$ 6.673.868;$ 5.005.401;30/11/2021;-;Incumplimiento en tamaño del deudor;28/02/2022;NO;TENJO
68;11 Muestra;8024123;Anulada;80;EMP219 UNIDOS POR COLOMBIA MICRO AL 80%;FUNDACION COOMEVA;NIT;9008824176;MEDICAL SKY SAS;$ 35.000.000;Oscar Reyes;$ 33.112.513;$ 26.490.010;31/01/2022;-;Plazo incumplido para el producto;28/02/2022;NO;BOGOTA
69;11 Muestra;8006122;Anulada;80;EMP223 UNIDOS POR COLOMBIA PEQ EMPRESA AL 80%;FUNDACION MARIO SANTO DOMINGO;NIT;9013401908;DLUAAM INVERSIONES SAS;$ 120.000.000;Lina Sarmiento;$ 120.000.000;$ 96.000.000;31/01/2022;17/10/2021;El producto no permite este tipo de cartera;28/02/2022;NO;CARTAGENA DE INDIAS
70;11 Muestra;8026178;Anulada;80;EMP223 UNIDOS POR COLOMBIA PEQ EMPRESA AL 80%;MIBANCO SA;CC;1041203121;CLAVIJO SUAREZ JOHN ALEXANDER;$ 42.500.000;Oscar Reyes;$ 36.688.129;$ 29.350.503;31/01/2022;-;Incumplimiento en tamaño del deudor;28/02/2022;NO;MEDELLIN
71;12 Muestra;8103460;Anulada;80;EMP223 UNIDOS POR COLOMBIA PEQ EMPRESA AL 80%;FINANCAP;NIT;9008255505;SOLUCIONES MEDICAS DE LA COSTA IP;$ 7.000.000;Oscar Reyes;$ 6.041.370;$ 4.833.096;31/01/2022;-;Incumplimiento en tamaño del deudor;28/02/2022;NO;BARRANQUILLA
72;12 Muestra;8066511;Anulada;50;EMP023 MICROCREDITO EMPRESARIAL *;COOPDE AHORRO Y CREDCOFINAL;CC;27212125;GUANCHA VILLOTA OLGA MARINA;$ 10.000.000;Carolina Restrepo;$ 9.511.799;$ 4.755.900;26/10/2021;-;Incumplimiento en tamaño del deudor;28/02/2022;NO;GUACHUCAL
73;12 Muestra;8085149;Anulada;80;EMP219 UNIDOS POR COLOMBIA MICRO AL 80%;COOPDE AHORRO Y CREDCOFINAL;CC;1114816587;TRUJILLO VELASQUEZ MANUEL ALEJANDRO;$ 50.000.000;Natalia Prado;$ 46.685.571;$ 37.348.457;31/01/2022;-;Incumplimiento en tamaño del deudor;28/02/2022;NO;EL CERRITO
74;12 Muestra;8079919;Anulada;80;EMP223 UNIDOS POR COLOMBIA PEQ EMPRESA AL 80%;CONTACTAR;NIT;8140033491;FUNDACION PACIFICO ES FUTURO;$ 158.116.000;Natalia Prado;$ 121.476.988;$ 97.181.590;31/01/2022;10/01/2022;Incumplimiento en tamaño del deudor;28/02/2022;NO;PASTO
75;12 Muestra;8072121;Anulada;80;EMP219 UNIDOS POR COLOMBIA MICRO AL 80%;FUNDACION COOMEVA;NIT;9014645041;COMERCIALIZADORA CALI CARNES SAS;$ 20.000.000;Natalia Prado;$ 19.190.713;$ 15.352.570;31/01/2022;-;Plazo incumplido para el producto;28/02/2022;NO;CALI
76;12 Muestra;8091413;Anulada;75;EMP225 UNIDOS POR COLOMBIA MICRO AL 75%;FUNDACION COOMEVA;NIT;9009883887;CRUZMARC SOLUTION MAINTENANCE RE;$ 28.480.000;Natalia Prado;$ 27.676.555;$ 20.757.416;31/01/2022;-;Plazo incumplido para el producto;28/02/2022;NO;PEREIRA
77;12 Muestra;8065003;Anulada;80;EMP223 UNIDOS POR COLOMBIA PEQ EMPRESA AL 80%;FUNDACION MARIO SANTO DOMINGO;NIT;9007129978;ORTIZ LAN TRADING COMPANY SAS;$ 160.273.533;Carolina Restrepo;$ 156.630.953;$ 125.304.762;31/01/2022;-;El producto no permite este tipo de cartera;28/02/2022;NO;CARTAGENA DE INDIAS
78;12 Muestra;8088959;Anulada;70;EMP203 UNIDOS POR COLOMBIA TRABINDEPAL 70%;BANCO DAVIVIENDA;CC;52306178;PRIETO DIANA ESPERANZA;$ 20.000.000;Natalia Prado;$ 20.000.000;$ 14.000.000;31/01/2022;-;Incumplimiento en tamaño del deudor;28/02/2022;NO;BOGOTA
79;12 Muestra;8063900;Anulada;80;EMP219 UNIDOS POR COLOMBIA MICRO AL 90%;FUNDACION AMANECER;CC;23702549;HERREÑO BALLEN MARIA YANETH;$ 4.000.000;Carolina Restrepo;$ 3.214.222;$ 2.571.378;31/01/2022;-;Incumplimiento en tamaño del deudor;28/02/2022;NO;ACACIAS
80;12 Muestra;8060950;Anulada;80;EMP223 UNIDOS POR COLOMBIA PEQ EMPRESA AL 80%;MIBANCO SA;CC;85165297;CAMARGO QUINCHIA GUSTAVO ADOLFO;$ 60.000.000;Carolina Restrepo;$ 55.110.636;$ 44.088.509;31/01/2022;-;Incumplimiento en tamaño del deudor;28/02/2022;NO;SAN FERNANDO
